postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
8626;ΓΑΝ/0810120;ΓΑΝ/0810120;Γάντζος ψαρέματος τηλεσκοπικός;γαντζοι-σκαφων-5.jpg;Μήκος;0.8-1.2ο μέτρα;;;;;;;;;;
8628;ΓΑΝ/1060813;ΓΑΝ/1060813;Γάντζος προστασίας ξύλινος;γαντζοι-σκαφων-6.jpg;Μήκος;2 μέτρα;;;;;;;;;;
8630;ΓΑΝ/0030;ΓΑΝ/0030;Ανταλλακτικό γάντζου πλαστικό;γαντζοι-σκαφων-11.jpg;Διάμετρος τρύπας;30mm;;;;;;;;;;
8632;ΓΑΝ/0034;ΓΑΝ/0034;Ανταλλακτικό γάντζου ανοξείδωτο;γαντζοι-σκαφων-8.jpg;Διάμετρος τρύπας;30-34mm;;;;;;;;;;
8662;ΡΑΟΥ/1078;ΡΑΟΥ/1078;Ανταλακτικά πλαστικά ράουλα;ραουλα-αγκυρας-14.jpg;Διάμετρος;5 cm;Υψος;4 cm;;;;;;;;
8666;ΡΕΖ/2023;ΡΕΖ/2023;Ρεζερβουάρ καυσίμων India Line;ρεζεβουαρ-καυσιμων-1.jpg;Χωρητικότητα;33 λίτρα;Μήκος;50 cm;Ύψος;23 cm;Πλάτος;35 cm;;;;
8668;ΡΕΖ/2033;ΡΕΖ/2033;Ρεζερβουάρ καυσίμων Hotel Line;ρεζεβουαρ-καυσιμων-2.jpg;Χωρητικότητα;70 λίτρα;Μήκος;80 cm;Ύψος;28 cm;Πλάτος;40 cm;;;;
8670;ΡΕΖ/2020;ΡΕΖ/2020;Ρεζερβουάρ καυσίμων Golf Line;ρεζεβουαρ-καυσιμων-3.jpg;Χωρητικότητα;40 λίτρα;Μήκος;50 cm;Ύψος;28 cm;Πλάτος;40 cm;;;;
8672;ΡΕΖ/2084;ΡΕΖ/2084;Ρεζερβουάρ καυσίμων Foxtrot Line;ρεζεβουαρ-καυσιμων-4.jpg;Χωρητικότητα;28 λίτρα;Μήκος;45 cm;Ύψος;20 cm;Πλάτος;39 cm;;;;
8675;ΡΕΖ/2029;ΡΕΖ/2029;Ρεζερβουάρ καυσίμων Juliet Line;ρεζερβουαρ-καυσιμων-15.jpg;Χωρητικότητα;62 λίτρα;Μήκος;66 cm;Ύψος;44 cm;Πλάτος;30 cm;;;;
8677;ΡΕΖ/2032;ΡΕΖ/2032;Ρεζερβουάρ καυσίμων Kilo Line ;ρεζερβουαρ-καυσιμων-16.jpg;Χωρητικότητα;91 λίτρα;Μήκος;91 cm;Ύψος;33 cm;Πλάτος;41 cm;;;;
8679;ΡΕΖ/0112003;ΡΕΖ/0112003;Ρεζερβουάρ καυσίμων  Ιταλίας;ρεζερβουαρ-καυσιμων-17.jpg;Χωρητικότητα;12 λίτρα;Μήκος;40 cm;Ύψος;18 cm;Πλάτος;25  cm;;;;
8681;ΣΙΓΑΣ/2290;ΣΙΓΑΣ/2290;Σιγαστήρες μηχανής Ιταλίας;σιγαστηρες-σκαφων-1.jpg;Χωρητικότητα;7 λίτρα;Διάμετρος;40.5-45.5-50.5 mm;Μήκος;48.5 cm;Ύψος;22 cm;;;;
8683;ΣΙΓΑΣ/2285;ΣΙΓΑΣ/2285;Σιγαστήρες μηχανής Ιταλίας;σιγαστηρες-σκαφων-2.jpg;Χωρητικότητα;20 λίτρα;Διάμετρος;55-60-65 mm;Μήκος;66 cm;Ύψος;32 cm;;;;
